# r_avg   r_low   r_high   xi   npairs
0.000000e+00  1.000000e-01  1.211530e-01  -1.000000e+00  0
0.000000e+00  1.211530e-01  1.467800e-01  -1.000000e+00  0
0.000000e+00  1.467800e-01  1.778280e-01  -1.000000e+00  0
0.000000e+00  1.778280e-01  2.154430e-01  -1.000000e+00  0
0.000000e+00  2.154430e-01  2.610160e-01  -1.000000e+00  0
0.000000e+00  2.610160e-01  3.162280e-01  -1.000000e+00  0
0.000000e+00  3.162280e-01  3.831190e-01  -1.000000e+00  0
0.000000e+00  3.831190e-01  4.641590e-01  -9.999508e-01  12
0.000000e+00  4.641590e-01  5.623410e-01  -1.771329e-01  356592
0.000000e+00  5.623410e-01  6.812920e-01  5.782197e-01  1216220
0.000000e+00  6.812920e-01  8.254040e-01  1.869281e-01  1626552
0.000000e+00  8.254040e-01  1.000000e+00  -2.205045e-02  2383202
0.000000e+00  1.000000e+00  1.211528e+00  -3.615836e-01  2766616
0.000000e+00  1.211528e+00  1.467799e+00  4.663560e-01  11300104
0.000000e+00  1.467799e+00  1.778279e+00  -2.016070e-01  10941084
0.000000e+00  1.778279e+00  2.154435e+00  4.862736e-02  25554420
0.000000e+00  2.154435e+00  2.610157e+00  2.572994e-02  44450492
0.000000e+00  2.610157e+00  3.162278e+00  9.883413e-03  77824390
0.000000e+00  3.162278e+00  3.831187e+00  2.598766e-03  137395064
0.000000e+00  3.831187e+00  4.641589e+00  -1.829017e-02  239236372
0.000000e+00  4.641589e+00  5.623413e+00  1.076593e-02  438020494
0.000000e+00  5.623413e+00  6.812921e+00  4.566111e-05  770662218
0.000000e+00  6.812921e+00  8.254042e+00  -2.779853e-03  1366579964
0.000000e+00  8.254042e+00  1.000000e+01  5.364906e-04  2438242688
