# Matter power spectrum P(k) at redshift z=45
# for k=1.02901e-05 to 20.064 h/Mpc,
# number of wavenumbers equal to 630
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.644956568376e-04       8.854461435085e-01 
       2.706565521306e-04       9.052625817149e-01 
       2.769609531102e-04       9.255213537663e-01 
       2.834122024530e-04       9.462322509965e-01 
       2.900137206970e-04       9.674052777862e-01 
       2.967690080545e-04       9.890506508414e-01 
       3.036816462683e-04       1.011178806640e+00 
       3.107553005106e-04       1.033800407206e+00 
       3.179937213266e-04       1.056926339873e+00 
       3.254007466228e-04       1.080567726356e+00 
       3.329803037021e-04       1.104735923629e+00 
       3.407364113459e-04       1.129442529582e+00 
       3.486731819451e-04       1.154699388136e+00 
       3.567948236807e-04       1.180518593260e+00 
       3.651056427545e-04       1.206912492274e+00 
       3.736100456728e-04       1.233893692813e+00 
       3.823125415827e-04       1.261475064175e+00 
       3.912177446626e-04       1.289669746709e+00 
       4.003303765691e-04       1.318491150366e+00 
       4.096552689403e-04       1.347952964050e+00 
       4.191973659575e-04       1.378069159568e+00 
       4.289617269668e-04       1.408853992206e+00 
       4.389535291618e-04       1.440322011464e+00 
       4.491780703282e-04       1.472488060527e+00 
       4.596407716530e-04       1.505367282994e+00 
       4.703471805991e-04       1.538975129472e+00 
       4.813029738460e-04       1.573327355120e+00 
       4.925139603005e-04       1.608440033252e+00 
       5.039860841760e-04       1.644329551869e+00 
       5.157254281443e-04       1.681012621286e+00 
       5.277382165611e-04       1.718506278598e+00 
       5.400308187657e-04       1.756827891110e+00 
       5.526097524585e-04       1.795995158281e+00 
       5.654816871568e-04       1.836026119300e+00 
       5.786534477307e-04       1.876939153131e+00 
       5.921320180219e-04       1.918752980896e+00 
       6.059245445469e-04       1.961486675792e+00 
       6.200383402857e-04       2.005159658445e+00 
       6.344808885598e-04       2.049791700758e+00 
       6.492598469993e-04       2.095402934655e+00 
       6.643830516036e-04       2.142013841354e+00 
       6.798585208961e-04       2.189645269839e+00 
       6.956944601753e-04       2.238318421817e+00 
       7.118992658660e-04       2.288054864418e+00 
       7.284815299705e-04       2.338876525167e+00 
       7.454500446247e-04       2.390805687569e+00 
       7.628138067599e-04       2.443865003857e+00 
       7.805820228724e-04       2.498077478095e+00 
       7.987641139056e-04       2.553466476282e+00 
       8.173697202450e-04       2.610055719193e+00 
       8.364087068292e-04       2.667869274324e+00 
       8.558911683809e-04       2.726931559896e+00 
       8.758274347592e-04       2.787267343122e+00 
       8.962280764363e-04       2.848901714118e+00 
       9.171039101025e-04       2.911860095332e+00 
       9.384660044012e-04       2.976168250153e+00 
       9.603256857974e-04       3.041852232422e+00 
       9.826945445837e-04       3.108938412799e+00 
       1.005584441025e-03       3.177453446475e+00 
       1.029007511648e-03       3.247424268371e+00 
       1.052976175673e-03       3.318878085662e+00 
       1.077503141605e-03       3.391842348301e+00 
       1.102601413965e-03       3.466344743168e+00 
       1.128284300189e-03       3.542413163799e+00 
       1.154565417684e-03       3.620075703676e+00 
       1.181458701046e-03       3.699360618467e+00 
       1.208978409449e-03       3.780296317805e+00 
       1.237139134208e-03       3.862911313838e+00 
       1.265955806511e-03       3.947234254683e+00 
       1.295443705340e-03       4.033293786537e+00 
       1.325618465569e-03       4.121118626229e+00 
       1.356496086254e-03       4.210729753359e+00 
       1.388092939120e-03       4.302159609903e+00 
       1.420425777236e-03       4.395440162435e+00 
       1.453511743901e-03       4.490599765428e+00 
       1.487368381732e-03       4.587666613274e+00 
       1.522013641966e-03       4.686668657458e+00 
       1.557465893979e-03       4.787633534584e+00 
       1.593743935025e-03       4.890588579719e+00 
       1.630867000201e-03       4.995560675257e+00 
       1.668854772648e-03       5.102576241362e+00 
       1.707727393985e-03       5.211661190163e+00 
       1.747505474991e-03       5.322840800243e+00 
       1.788210106530e-03       5.436139606217e+00 
       1.829862870738e-03       5.551581515929e+00 
       1.872485852461e-03       5.669189471096e+00 
       1.916101650968e-03       5.788985553150e+00 
       1.960733391933e-03       5.910990726502e+00 
       2.006404739696e-03       6.035224992390e+00 
       2.053139909810e-03       6.161707063356e+00 
       2.100963681881e-03       6.290454259214e+00 
       2.149901412705e-03       6.421482600431e+00 
       2.199979049715e-03       6.554806689092e+00 
       2.251223144738e-03       6.690439299141e+00 
       2.303660868071e-03       6.828391585486e+00 
       2.357320022888e-03       6.968672829072e+00 
       2.412229059985e-03       7.111290507644e+00 
       2.468417092858e-03       7.256249615588e+00 
       2.525913913148e-03       7.403553524353e+00 
       2.584750006429e-03       7.553202969938e+00 
       2.644956568376e-03       7.705196308699e+00 
       2.706565521306e-03       7.859529256051e+00 
       2.769609531101e-03       8.016195529911e+00 
       2.834122024530e-03       8.175185266530e+00 
       2.900137206970e-03       8.336485911794e+00 
       2.967690080545e-03       8.500082692799e+00 
       3.036816462683e-03       8.665957169083e+00 
       3.107553005106e-03       8.834087173825e+00 
       3.179937213266e-03       9.004449371840e+00 
       3.254007466228e-03       9.177014761073e+00 
       3.329803037021e-03       9.351751949663e+00 
       3.407364113458e-03       9.528626820837e+00 
       3.486731819451e-03       9.707601065608e+00 
       3.567948236807e-03       9.888632613843e+00 
       3.651056427545e-03       1.007167595566e+01 
       3.736100456728e-03       1.025668355024e+01 
       3.823125415827e-03       1.044360125291e+01 
       3.912177446626e-03       1.063237391610e+01 
       4.003303765691e-03       1.082294257525e+01 
       4.096552689403e-03       1.101524339658e+01 
       4.191973659575e-03       1.120920821561e+01 
       4.289617269668e-03       1.140477035380e+01 
       4.389535291618e-03       1.160185205901e+01 
       4.491780703282e-03       1.180037755039e+01 
       4.596407716530e-03       1.200026759643e+01 
       4.703471805991e-03       1.220143566259e+01 
       4.813029738460e-03       1.240379373715e+01 
       4.925139603005e-03       1.260725306363e+01 
       5.039860841760e-03       1.281171475967e+01 
       5.157254281443e-03       1.301708332311e+01 
       5.277382165610e-03       1.322325550525e+01 
       5.400308187657e-03       1.343012161825e+01 
       5.526097524585e-03       1.363757903873e+01 
       5.654816871568e-03       1.384550669436e+01 
       5.786534477307e-03       1.405378681481e+01 
       5.921320180219e-03       1.426229946154e+01 
       6.059245445469e-03       1.447091840363e+01 
       6.200383402857e-03       1.467950249187e+01 
       6.344808885598e-03       1.488791657337e+01 
       6.492598469993e-03       1.509601015963e+01 
       6.643830516036e-03       1.530364150859e+01 
       6.798585208961e-03       1.551064747984e+01 
       6.956944601753e-03       1.571685845537e+01 
       7.118992658660e-03       1.592210813995e+01 
       7.284815299705e-03       1.612620587487e+01 
       7.454500446247e-03       1.632897267903e+01 
       7.628138067599e-03       1.653020999802e+01 
       7.805820228724e-03       1.672970510863e+01 
       7.987641139056e-03       1.692725348997e+01 
       8.173697202450e-03       1.712261546573e+01 
       8.364087068292e-03       1.731558181851e+01 
       8.558911683809e-03       1.750590364101e+01 
       8.758274347592e-03       1.769332959648e+01 
       8.962280764363e-03       1.787760678668e+01 
       9.171039101025e-03       1.805847944033e+01 
       9.384660044012e-03       1.823567509658e+01 
       9.603256857974e-03       1.840892142281e+01 
       9.826945445837e-03       1.857794507228e+01 
       1.005584441025e-02       1.874244000417e+01 
       1.029007511648e-02       1.890213102389e+01 
       1.052976175673e-02       1.905672574077e+01 
       1.077503141605e-02       1.920590625387e+01 
       1.102601413965e-02       1.934937114623e+01 
       1.128284300189e-02       1.948680907709e+01 
       1.154565417684e-02       1.961790719549e+01 
       1.181458701046e-02       1.974233511646e+01 
       1.208978409449e-02       1.985976520777e+01 
       1.237139134208e-02       1.996985496785e+01 
       1.265955806511e-02       2.007228354595e+01 
       1.295443705340e-02       2.016669846355e+01 
       1.325618465569e-02       2.025275041320e+01 
       1.356496086254e-02       2.033010771042e+01 
       1.388092939120e-02       2.039841968084e+01 
       1.420425777236e-02       2.045732956706e+01 
       1.453511743901e-02       2.050651800822e+01 
       1.487368381732e-02       2.054562934138e+01 
       1.522013641966e-02       2.057435396035e+01 
       1.557465893979e-02       2.059237387936e+01 
       1.593743935025e-02       2.059936249397e+01 
       1.630867000201e-02       2.059504716314e+01 
       1.668854772648e-02       2.057913075939e+01 
       1.707727393985e-02       2.055133925897e+01 
       1.747505474991e-02       2.051143341666e+01 
       1.788210106530e-02       2.045915602400e+01 
       1.829862870738e-02       2.039432099919e+01 
       1.872485852461e-02       2.031676436733e+01 
       1.916101650968e-02       2.022627482679e+01 
       1.960733391933e-02       2.012274435350e+01 
       2.006404739696e-02       2.000614368441e+01 
       2.053139909810e-02       1.987637934114e+01 
       2.100963681881e-02       1.973343186169e+01 
       2.149901412705e-02       1.957737017516e+01 
       2.199979049715e-02       1.940829061809e+01 
       2.251223144738e-02       1.922630111092e+01 
       2.303660868071e-02       1.903162890712e+01 
       2.357320022888e-02       1.882441054244e+01 
       2.412229059985e-02       1.860510423432e+01 
       2.468417092858e-02       1.837399848484e+01 
       2.525913913148e-02       1.813146607717e+01 
       2.584750006429e-02       1.787813359201e+01 
       2.644956568376e-02       1.761444484102e+01 
       2.706565521306e-02       1.734107657824e+01 
       2.769609531101e-02       1.705877533895e+01 
       2.834122024530e-02       1.676815112656e+01 
       2.900137206970e-02       1.647015899196e+01 
       2.967690080545e-02       1.616558281968e+01 
       3.036816462683e-02       1.585554634193e+01 
       3.107553005106e-02       1.554083517699e+01 
       3.179937213266e-02       1.522257981303e+01 
       3.254007466228e-02       1.490198424395e+01 
       3.329803037021e-02       1.457988586295e+01 
       3.407364113458e-02       1.425746252048e+01 
       3.486731819451e-02       1.393602990191e+01 
       3.567948236807e-02       1.361661065061e+01 
       3.651056427545e-02       1.330042334921e+01 
       3.736100456728e-02       1.298858915644e+01 
       3.823125415827e-02       1.268214820883e+01 
       3.912177446626e-02       1.238223813187e+01 
       4.003303765691e-02       1.208978741770e+01 
       4.096552689403e-02       1.180584685248e+01 
       4.191973659575e-02       1.153105860751e+01 
       4.289617269668e-02       1.126632044100e+01 
       4.389535291618e-02       1.101221893302e+01 
       4.491780703282e-02       1.076919747352e+01 
       4.596407716530e-02       1.053761776233e+01 
       4.703471805991e-02       1.031774115871e+01 
       4.813029738460e-02       1.010954501846e+01 
